Sample Age,Paleocoordinate Age,Paleo-Lat,Paleo-Lon,Lat,Lon,"Temperature,C",Min Temp,Max Temp,Area
136.1833169,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,34.87017319,,,Atlantic Ocean
136.2990162,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,35.60830148,,,Atlantic Ocean
136.5520786,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,34.44116484,,,Atlantic Ocean
136.9203642,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,35.77492765,,,Atlantic Ocean
136.9725003,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,35.04149524,,,Atlantic Ocean
134.7337882,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.10010935,,,Atlantic Ocean
134.8806702,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.12827882,,,Atlantic Ocean
134.9362741,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.92539517,,,Atlantic Ocean
135.0040351,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.91312956,,,Atlantic Ocean
135.0080211,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.99109642,,,Atlantic Ocean
135.8141187,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.09078098,,,Atlantic Ocean
136.5290597,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.47908883,,,Atlantic Ocean
136.8219117,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.65958115,,,Atlantic Ocean
137.1255865,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.47241503,,,Atlantic Ocean
137.916287,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.57390184,,,Atlantic Ocean
138.1130072,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.5877731,,,Atlantic Ocean
138.1862202,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.77347312,,,Atlantic Ocean
